ID,age,gender,playFrequency,playAmount,game,cd,path,type
1589279193163,24,male,7,7,1,6,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_23ch1_27ch1_31ch1_34ch1_36ch1_36_2ch1_38ch1_39ch1_41ch1_42ch1_46ch1_50ch1_55ch1_58ch1_47ch1_48ch1_52ch1_62ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,47214324674642712
1589284041394,23,female,2,6,0,7,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_24ch1_30ch1_31ch1_34ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_53ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,15772655541767165
1589285281747,25,male,6,7,0,7,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_24ch1_30ch1_31ch1_35ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_54ch1_56ch1_57ch1_47ch1_48ch1_52ch1_61ch1_51ch1_65ch1_66ch1_69ch1_70ch1_73ch1_75part_2,66656333334446363
1589285706254,27,female,2,7,0,5,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_5ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_24ch1_30ch1_31ch1_35ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_53ch1_47ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,75767556262762244
1589286939089,22,male,4,7,1,5,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_5ch1_6ch1_7ch1_10ch1_11ch1_22ch1_24ch1_30ch1_31ch1_35ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_53ch1_47ch1_48ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,56435566634561734
1589287413875,23,male,7,7,1,2,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_24ch1_30ch1_31ch1_34ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_45ch1_51ch1_65ch1_66ch1_69ch1_70ch1_73ch1_75part_2,46544546466443663
1589288704763,38,male,7,7,1,7,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_26ch1_30ch1_31ch1_35ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_55ch1_58ch1_47ch1_48ch1_52ch1_62ch1_50ch1_54ch1_56ch1_57ch1_52ch1_61ch1_50ch1_53ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,76777667577773665
1589290000329,23,female,6,7,0,7433,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_24ch1_30ch1_31ch1_34ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_54ch1_56ch1_57ch1_47ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,72665344462454577
1589291537751,28,female,5,6,0,2211,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_22ch1_19ch1_26ch1_30ch1_31ch1_35ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,21111415256456444
1589292577700,26,male,7,7,0,5642,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_22ch1_24ch1_30ch1_31ch1_35ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_53ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,52456777751554564
1589294949350,21,male,5,7,1,4255,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_24ch1_30ch1_31ch1_34ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_53ch1_47ch1_48ch1_51ch1_65ch1_66ch1_69ch1_70ch1_73ch1_75part_2,71771377171714453
1589309100717,26,male,5,6,0,2234,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_24ch1_30ch1_31ch1_34ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_54ch1_56ch1_59ch1_47ch1_48ch1_52ch1_61ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,56633665242345523
1589315120544,29,male,5,7,1,7666,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_26ch1_30ch1_31ch1_35ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_47ch1_48ch1_50ch1_54ch1_56ch1_57ch1_52ch1_62ch1_50ch1_54ch1_57ch1_52ch1_62ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,55625344363663644
1589317531675,24,male,7,7,1,7677,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_5ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_26ch1_30ch1_31ch1_35ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_55ch1_60ch1_47ch1_48ch1_52ch1_61ch1_51ch1_65ch1_66ch1_69ch1_70ch1_73ch1_75part_2,53365754777562552
1589350429410,22,male,3,6,1,3333,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_23ch1_27ch1_31ch1_34ch1_36ch1_36_2ch1_38ch1_39ch1_41ch1_42ch1_46ch1_50ch1_55ch1_60ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,11111445353535433
1589358726434,29,male,6,6,0,4555,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_22ch1_24ch1_30ch1_31ch1_35ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_47ch1_48ch1_50ch1_55ch1_60ch1_52ch1_63ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,67746354766464566
1589378521166,26,female,2,5,0,4777,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_5ch1_6ch1_7ch1_10ch1_11ch1_22ch1_24ch1_30ch1_31ch1_35ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_53ch1_47ch1_48ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,26413135556475147
1589393929099,26,female,2,4,0,4773,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_24ch1_30ch1_31ch1_34ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_47ch1_48ch1_51ch1_65ch1_66ch1_69ch1_70ch1_73ch1_75part_2,33222677523326252
1589403018738,50,female,3,6,0,7777,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_5ch1_6ch1_9ch1_12ch1_14ch1_25ch1_11ch1_22ch1_24ch1_30ch1_31ch1_34ch1_36ch1_36_2ch1_39ch1_41ch1_44ch1_45ch1_47ch1_48ch1_50ch1_54ch1_57ch1_52ch1_61ch1_51ch1_65ch1_68ch1_70ch1_71ch1_76ch1_75part_2,47411744331447142
1589406132173,18,male,3,7,1,5777,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_23ch1_27ch1_31ch1_34ch1_36ch1_36_2ch1_38ch1_39ch1_41ch1_42ch1_45ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,35152311763731557
1589445665200,30,male,6,6,0,6666,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_26ch1_30ch1_31ch1_34ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_47ch1_48ch1_50ch1_54ch1_56ch1_57ch1_52ch1_61ch1_50ch1_53ch1_50ch1_55ch1_58ch1_52ch1_62ch1_51ch1_65ch1_66ch1_69ch1_70ch1_73ch1_75part_2,65567322652674166
1589448808323,29,female,2,6,0,4447,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_24ch1_30ch1_31ch1_35ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_55ch1_60ch1_47ch1_48ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,36113556573444314
1589451312911,22,female,3,7,0,7777,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_26ch1_30ch1_31ch1_34ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_54ch1_56ch1_57ch1_47ch1_48ch1_52ch1_63ch1_51ch1_65ch1_66ch1_69ch1_70ch1_73ch1_75part_2,51534535465554245
1589462820579,34,male,1,1,0,5774,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_24ch1_30ch1_31ch1_35ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_47ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,47414777444474144
1589463166420,24,male,6,7,0,6777,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_24ch1_30ch1_31ch1_34ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_47ch1_48ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,54523555645451456
1589466469916,55,female,2,3,0,7776,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_24ch1_30ch1_31ch1_34ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_45ch1_47ch1_48ch1_50ch1_54ch1_56ch1_59ch1_51ch1_65ch1_66ch1_69ch1_70ch1_73ch1_75part_2,47444777174475136
1589473821494,,male,6,7,0,5654,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_26ch1_30ch1_31ch1_34ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_55ch1_58ch1_47ch1_48ch1_52ch1_61ch1_50ch1_53ch1_50ch1_54ch1_57ch1_52ch1_62ch1_50ch1_55ch1_58ch1_52ch1_63ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,56456433642332746
1589528141923,30,male,4,2,0,3323,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_24ch1_30ch1_31ch1_35ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_55ch1_58ch1_47ch1_51ch1_65ch1_66ch1_69ch1_70ch1_73ch1_75part_2,14621543656351316
1589537576849,31,male,2,7,0,3443,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_24ch1_30ch1_31ch1_34ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_50ch1_54ch1_56ch1_59ch1_51ch1_65ch1_66ch1_69ch1_70ch1_74ch1_75part_2,25534365454552435
1589550066576,21,male,6,7,1,6311,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_26ch1_30ch1_31ch1_34ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_46ch1_51ch1_65ch1_66ch1_69ch1_70ch1_73ch1_75part_2,55472355775771722
1589556315860,29,female,2,6,0,4655,start testagegender12345678910111213141516171819202122part_1cd1ch1_1ch1_2ch1_4ch1_6ch1_7ch1_10ch1_11ch1_22ch1_19ch1_24ch1_30ch1_31ch1_35ch1_36ch1_36_2ch1_39ch1_41ch1_42ch1_45ch1_47ch1_48ch1_50ch1_54ch1_56ch1_59ch1_52ch1_61ch1_50ch1_53ch1_50ch1_55ch1_58ch1_52ch1_63ch1_51ch1_65ch1_66ch1_69ch1_70ch1_73ch1_75part_2,75516253454452527